Forwards/Defensemen,,,Offense,,,,,,,,
,Name,,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK
?,Jonathan Marchessault,?,13,8,4,0,2,2,38,12,5
?,Mark Stone,?,25,7,19,9,6,4,50,14,18
?,Connor McDavid,?,73,39,72,24,43,42,286,66,23
?,Andre Burakovsky,?,11,4,3,-2,4,1,21,10,4
?,Adam Fox,?,75,11,62,23,26,32,152,29,124
?,Seth Jones,?,71,5,43,-41,24,19,177,91,148
?,Jamie Benn,?,77,16,26,-13,79,9,168,132,56
?,Teuvo Teravainen,?,71,19,39,19,24,29,185,13,28
?,Roope Hintz,?,9,0,1,-5,2,1,24,11,6
?,Radko Gudas,?,75,3,12,25,103,0,97,348,117
?,Zach Werenski,?,12,2,5,-1,4,2,42,5,13
?,Brayden Schenn,?,34,15,20,18,20,10,58,52,9
?,Tomas Hertl,?,27,13,6,-4,2,4,75,26,14
?,Brenden Dillon,?,7,0,1,1,11,0,14,19,6
?,Anthony Mantha,?,4,0,3,0,2,1,5,2,2
?,Matt Duchene,?,63,36,35,7,34,23,178,29,22
?,Blake Coleman,?,68,13,15,11,56,0,173,131,37
?,Josh Manson,?,28,2,3,-3,23,0,35,70,27
?,Tyler Bertuzzi,?,52,21,24,-18,35,12,146,48,31
?,Rasmus Andersson,?,7,0,4,-2,0,1,12,3,14
?,Torey Krug,?,5,1,4,4,2,3,11,4,2
?,Ivan Provorov,?,1,0,1,1,0,0,1,1,1
?,Colton Parayko,?,1,0,0,-2,0,0,0,1,3
?,Vincent Trocheck,?,46,12,16,13,39,5,99,111,23
?,Alex Goligoski,?,35,0,5,13,8,1,38,26,47
?,Anthony Duclair,?,35,12,11,-5,22,14,82,20,3
?,Chris Tanev,?,17,2,5,9,4,0,19,12,39
,Totals,,942,241,439,81,575,215,2186,1286,822
Goaltenders,,,Offense,Goaltending,,,,,,,
,Name,,GP*,W,GA*,GAA,SV*,SA*,SV%,SHO,
?,Darcy Kuemper,?,48,33,109,2.36,1398,1507,0.928,5,
?,Jordan Binnington,?,26,13,77,3,762,839,0.908,2,
?,Jeremy Swayman,?,29,18,70,2.44,736,806,0.913,2,
?,Dan Vladar,?,2,1,7,3.39,53,60,0.883,0,
?,Petr Mrazek,?,6,4,14,2.41,142,156,0.91,0,
?,James Reimer,?,2,2,5,2.51,51,56,0.911,0,
?,Linus Ullmark,?,4,2,6,1.81,82,88,0.932,0,
?,Elvis Merzlikins,?,6,2,14,2.36,176,190,0.926,0,
,Totals,,123,75,302,2.52,3400,3702,0.918,9,
Legends and Glossaries,,,,,,,,,,,
Legend?,,,,,,,,,,,
Stats?,,,,,,,,,,,
Positions?,,,,,,,,,,,
Advanced Stats Glossary?,,,,,,,,,,,
The Fine Print,,,,,,,,,,,
Projections Powered by Rotowire,,,,,,,,,,,
All game times are shown in MDT.,,,,,,,,,,,
* Non-scoring stats,,,,,,,,,,,
